"Order";"MS.Zoning";"Lot.Area";"Alley";"Neighborhood";"Overall.Qual";"Year.Built";"Year.Remod.Add";"X1st.Flr.SF";"X2nd.Flr.SF";"Gr.Liv.Area";"Total.Bsmt.SF";"Bsmt.Full.Bath";"Bsmt.Half.Bath";"Full.Bath";"Half.Bath";"TotRms.AbvGrd";"Garage.Cars";"Garage.Area";"Yr.Sold";"Sale.Condition";"SalePrice"
670;"RL";11643;NA;"NAmes";5;1969;1969;1338;1296;2634;1248;1;1;2;2;12;4;968;2009;"Normal";200000
671;"RL";8010;NA;"NAmes";6;1958;2007;951;0;951;951;1;0;1;0;6;2;480;2009;"Normal";143500
672;"RL";10454;NA;"NAmes";6;1957;1957;1105;0;1105;1105;0;0;1;0;5;1;308;2009;"Normal";135000
673;"RL";8712;NA;"NAmes";5;1957;2000;1306;0;1306;992;1;0;1;0;5;1;756;2009;"Normal";153000
674;"RL";17600;NA;"NAmes";6;1960;1960;1478;0;1478;1478;1;0;2;0;6;2;498;2009;"Normal";157500
675;"RL";9000;NA;"NAmes";6;1958;1958;1142;0;1142;160;0;0;1;0;5;1;384;2009;"Normal";113500
676;"RL";12144;NA;"NAmes";5;1949;1950;1036;0;1268;832;0;0;1;0;6;1;288;2009;"Normal";133000
677;"RL";8544;NA;"NAmes";3;1950;1950;1040;0;1040;0;0;0;2;0;6;2;400;2009;"Normal";92900
678;"RL";8064;NA;"NAmes";6;1950;1950;765;368;1133;795;0;0;1;0;5;2;900;2009;"Abnorml";128500
679;"RL";7200;NA;"NAmes";4;1949;1950;1040;0;1040;0;0;0;2;0;6;2;420;2009;"Normal";90000
680;"RL";7200;NA;"NAmes";5;1950;1982;1136;768;1904;1208;1;0;1;1;7;1;240;2009;"Normal";138000
681;"RL";7350;NA;"NAmes";5;1958;1958;1041;0;1041;1041;0;0;1;0;6;1;294;2009;"Normal";128000
682;"RL";7560;NA;"NAmes";5;1958;1965;1339;0;1339;1029;0;0;1;0;6;1;294;2009;"Abnorml";139000
683;"RL";7200;NA;"NAmes";5;1952;1952;732;0;732;732;1;0;1;0;4;1;240;2009;"Normal";118900
684;"RL";8000;NA;"NAmes";5;1959;1959;1183;0;1183;528;1;0;1;0;6;1;288;2009;"Normal";138000
685;"RL";7931;NA;"NAmes";5;1959;1959;1148;0;1148;1148;1;0;1;0;6;1;672;2009;"Normal";132500
686;"RL";10800;NA;"NAmes";4;1949;1996;832;629;1461;832;0;0;2;0;6;1;384;2009;"Normal";133500
687;"RL";8064;NA;"NAmes";6;1948;1994;1064;0;1495;864;0;0;1;0;6;2;576;2009;"Abnorml";135000
688;"RL";7570;NA;"NAmes";6;1964;1964;993;813;1806;780;0;0;1;1;8;2;483;2009;"Normal";144750
689;"RL";8604;NA;"NAmes";5;1978;1978;941;0;941;941;1;0;1;0;4;2;564;2009;"Normal";145000
690;"RL";7936;NA;"NAmes";6;1963;1963;1045;0;1045;1045;1;0;1;0;6;1;264;2009;"Normal";127000
691;"RL";6600;NA;"NAmes";5;1962;1962;894;0;894;894;0;0;1;0;5;1;308;2009;"Normal";109500
692;"RM";3950;"Grvl";"OldTown";6;1926;2004;818;406;1224;818;0;0;1;0;5;1;210;2009;"Normal";115000
693;"RM";10440;"Grvl";"OldTown";5;1910;1981;682;548;1230;440;0;0;1;1;5;2;440;2009;"Normal";110000
694;"RM";4080;"Grvl";"OldTown";6;1935;1998;861;517;1378;901;0;0;1;0;6;1;162;2009;"Normal";128900
695;"RM";10307;"Grvl";"OldTown";6;1910;1950;972;972;1944;972;1;0;2;0;12;2;324;2009;"Normal";103500
696;"RM";5720;NA;"OldTown";5;1941;1950;676;455;1131;676;0;0;1;1;5;1;200;2009;"Abnorml";66500
697;"RM";15660;NA;"OldTown";5;1910;2003;810;496;1306;240;0;0;1;1;6;2;472;2009;"Normal";130000
698;"RM";9900;NA;"OldTown";5;1910;2002;764;700;1464;504;0;0;2;0;7;0;0;2009;"Normal";129000
699;"RM";6406;"Grvl";"OldTown";5;1939;1950;868;690;1558;690;0;0;1;1;7;2;400;2009;"Normal";150000
700;"RM";6600;NA;"OldTown";5;1892;1965;1378;994;2372;994;0;0;2;0;11;1;432;2009;"Normal";107500
701;"RM";7627;NA;"OldTown";4;1920;1950;1101;600;1701;600;0;0;2;0;8;0;0;2009;"Normal";94550
702;"RM";7596;"Grvl";"OldTown";5;1952;1952;960;1000;1960;960;0;0;2;0;10;2;400;2009;"Normal";124500
703;"RM";3378;"Grvl";"OldTown";7;1946;1992;707;682;1389;651;0;0;1;1;6;1;240;2009;"Normal";135000
704;"RM";10134;"Grvl";"OldTown";5;1910;1950;801;646;1447;801;0;0;1;0;6;0;0;2009;"Normal";103000
705;"RM";6000;"Pave";"OldTown";4;1953;1953;936;0;936;936;0;0;1;0;4;2;576;2009;"Normal";93000
706;"RM";6000;NA;"OldTown";5;1950;1970;768;560;1328;768;0;0;1;1;6;1;308;2009;"Normal";129500
707;"RM";6000;NA;"OldTown";5;1954;1954;811;576;1387;811;0;0;2;0;7;1;256;2009;"Normal";93000
708;"RM";7404;NA;"OldTown";4;1920;1950;861;0;861;861;0;0;1;0;5;2;288;2009;"Normal";80000
709;"RM";5925;NA;"OldTown";2;1940;1950;612;0;612;0;0;0;1;0;4;1;308;2009;"Normal";45000
710;"RM";5925;NA;"OldTown";3;1910;1950;600;368;968;600;0;0;1;0;6;0;0;2009;"Abnorml";37900
711;"RM";5784;NA;"OldTown";5;1938;1996;886;0;886;190;0;0;1;0;4;1;273;2009;"Normal";91300
712;"RM";8520;NA;"OldTown";5;1923;1950;792;0;792;624;0;0;1;0;5;1;287;2009;"Normal";99500
713;"RM";4456;NA;"OldTown";4;1920;2008;736;716;1452;736;0;0;2;0;8;0;0;2009;"Partial";113000
714;"RM";9600;NA;"OldTown";4;1910;1950;833;677;1510;677;0;0;2;0;7;2;720;2009;"Normal";87500
715;"RM";3500;"Grvl";"OldTown";5;1947;1950;720;564;1284;720;0;0;1;1;5;1;240;2009;"Normal";110000
716;"RM";8100;NA;"OldTown";5;1898;1965;1075;1063;2138;849;0;0;2;0;11;2;360;2009;"Normal";106000
717;"RM";11700;"Pave";"OldTown";7;1880;2003;1320;1320;2640;1240;0;0;1;1;8;4;864;2009;"Normal";265979
718;"RM";8400;NA;"OldTown";6;1900;1950;1090;917;2007;917;0;0;2;0;8;1;357;2009;"Normal";160000
719;"RM";3600;"Grvl";"OldTown";6;1917;2007;664;624;1288;624;1;0;1;0;5;1;280;2009;"Normal";119000
720;"RM";17671;"Grvl";"OldTown";8;1882;1986;916;826;1742;916;0;0;1;1;8;2;424;2009;"Normal";168000
721;"C (all)";3300;NA;"OldTown";4;1910;1950;816;0;816;624;0;0;1;0;5;0;0;2009;"Normal";58500
722;"RM";9000;NA;"OldTown";7;1920;1988;832;650;1482;650;0;1;1;0;7;2;324;2009;"Normal";143000
723;"RM";7200;NA;"OldTown";5;1910;2006;1022;0;1022;1022;1;0;1;0;4;1;280;2009;"Normal";85000
724;"RM";8820;NA;"OldTown";5;1890;1996;1188;561;1869;1088;0;0;1;0;7;2;456;2009;"Normal";124900
725;"RM";5400;NA;"OldTown";6;1920;1950;1044;0;1480;972;0;0;1;0;6;1;207;2009;"Family";119000
726;"RM";9720;"Grvl";"OldTown";6;1910;2002;780;741;1521;741;0;0;1;0;8;3;640;2009;"Normal";146500
727;"C (all)";7879;NA;"IDOTRR";4;1920;1950;720;0;720;720;0;0;1;0;4;0;0;2009;"Abnorml";34900
728;"C (all)";9392;NA;"IDOTRR";3;1900;1950;797;0;797;245;0;0;1;0;5;0;0;2009;"Abnorml";44000
729;"RL";21384;NA;"BrkSide";5;1923;2004;1072;504;1576;1324;2;0;1;1;6;2;528;2009;"Normal";223500
730;"RL";6615;NA;"BrkSide";6;1923;1950;1432;0;1432;1022;0;0;1;0;6;1;216;2009;"Normal";149000
731;"RL";7264;NA;"BrkSide";7;1925;2007;952;596;1548;952;0;0;2;1;5;2;672;2009;"Normal";205000
732;"RL";4960;NA;"BrkSide";5;1930;1982;1001;653;1654;297;0;0;2;0;7;1;336;2009;"Normal";137000
733;"RL";8854;NA;"BrkSide";6;1916;1950;952;0;952;952;0;0;1;0;4;1;192;2009;"Normal";121000
734;"RM";6000;NA;"BrkSide";4;1936;1950;757;567;1324;672;0;0;1;0;6;1;240;2009;"Normal";128000
735;"RM";6000;NA;"BrkSide";6;1937;2000;786;390;1176;698;0;0;1;0;4;2;624;2009;"Normal";134900
736;"RM";6000;NA;"BrkSide";5;1925;1997;884;464;1348;884;1;0;1;0;5;1;216;2009;"Normal";117000
737;"RM";6000;NA;"BrkSide";6;1939;1950;825;587;1412;780;0;0;1;0;6;1;280;2009;"Normal";132500
738;"RM";6000;NA;"BrkSide";5;1924;1950;822;320;1142;468;0;0;1;0;6;1;320;2009;"Normal";93000
739;"RM";6000;NA;"BrkSide";6;1926;2004;904;0;904;884;0;0;1;0;4;1;180;2009;"Normal";119000
740;"RM";6911;NA;"BrkSide";5;1924;1950;1301;0;1301;1145;0;0;1;0;5;2;440;2009;"Normal";100000
741;"RM";6120;NA;"BrkSide";5;1936;1950;1067;472;1539;927;0;0;1;1;5;2;576;2009;"Normal";141500
742;"RM";6120;NA;"BrkSide";4;1935;1995;989;584;1573;884;0;0;1;0;6;1;240;2009;"Normal";133000
743;"RM";6120;NA;"BrkSide";2;1936;1950;800;0;800;264;0;0;1;0;4;0;0;2009;"Normal";60000
744;"RM";6120;NA;"BrkSide";5;1931;1993;875;0;875;715;1;0;1;0;5;1;180;2009;"Normal";105000
745;"RM";6120;NA;"BrkSide";5;1925;1999;995;0;995;960;0;0;1;0;5;1;264;2009;"Abnorml";115000
746;"RM";6120;NA;"BrkSide";5;1938;1950;994;588;1582;952;0;0;2;0;6;1;250;2009;"Normal";150000
747;"RM";8635;NA;"BrkSide";5;1925;1950;1072;0;1072;1072;1;0;1;0;5;5;1184;2009;"Normal";126500
748;"RL";11888;"Pave";"BrkSide";6;1916;1994;1445;689;2134;844;0;0;2;0;10;2;441;2009;"Normal";214500
749;"RL";11414;NA;"BrkSide";7;1910;1993;1136;883;2019;728;0;0;1;0;8;2;532;2009;"Normal";167500
750;"RM";8094;"Grvl";"OldTown";6;1915;1950;1048;720;1768;1048;0;0;2;0;8;2;576;2009;"Normal";155000
751;"RM";2500;"Pave";"OldTown";7;1915;2005;916;910;1826;910;1;0;1;1;7;1;164;2009;"Normal";155000
752;"RM";9928;"Grvl";"OldTown";7;1915;1994;1272;672;1944;672;0;0;2;0;8;1;216;2009;"Normal";179900
753;"RM";5520;NA;"OldTown";6;1912;1950;929;929;2229;755;0;0;1;0;8;0;0;2009;"Abnorml";104000
754;"RM";3000;"Grvl";"OldTown";5;1922;1950;1088;1040;2128;1040;0;0;2;0;11;0;0;2009;"Abnorml";62500
755;"RM";6876;NA;"IDOTRR";6;1927;1950;1146;784;1930;720;1;0;2;0;8;1;316;2009;"Normal";149000
756;"RM";6240;"Grvl";"IDOTRR";4;1925;1950;848;0;1208;780;0;0;1;0;5;2;539;2009;"Normal";103000
757;"RM";5775;NA;"OldTown";6;1915;2002;741;686;1427;483;0;0;1;0;7;1;379;2009;"Normal";123000
758;"RM";5852;NA;"OldTown";7;1902;2000;978;886;1864;1020;0;0;2;1;9;0;0;2009;"Normal";97500
759;"RM";5160;NA;"IDOTRR";6;1927;1950;1204;462;1666;1204;0;0;1;0;4;1;384;2009;"Normal";135000
760;"RM";5160;"Grvl";"IDOTRR";4;1923;1950;892;0;892;858;1;0;1;0;5;0;0;2009;"Abnorml";70000
761;"RM";10320;"Grvl";"IDOTRR";6;1915;1965;754;649;1403;698;1;0;1;1;7;1;308;2009;"Normal";116000
762;"RL";4280;NA;"Sawyer";4;1946;2001;704;0;704;560;0;1;1;0;4;1;220;2009;"Normal";88750
763;"RL";10800;NA;"Edwards";5;1987;1988;1200;0;1200;1200;3;0;3;0;5;0;0;2009;"Alloca";179000
764;"RL";10800;NA;"Edwards";5;1987;1988;1200;0;1200;1200;3;0;3;0;5;0;0;2009;"Alloca";179000
765;"RL";10547;NA;"Edwards";5;1978;1978;1152;0;1152;1152;2;0;2;0;6;1;252;2009;"Normal";159900
766;"RL";10020;NA;"Edwards";1;1922;1950;904;0;904;683;1;0;0;1;4;0;0;2009;"Normal";61000
767;"RH";6629;NA;"Edwards";6;1925;1950;697;672;1369;672;1;0;2;0;6;1;300;2009;"Normal";103600
768;"RL";9780;NA;"Edwards";5;1934;1950;687;425;1112;585;1;0;2;0;6;1;226;2009;"Normal";63000
769;"RL";12886;NA;"Sawyer";5;1963;1999;1464;0;1464;520;0;1;2;0;6;2;480;2009;"Normal";175000
770;"RL";8816;NA;"Sawyer";5;1963;1963;1121;0;1121;1121;1;0;1;0;5;2;480;2009;"Normal";139000
771;"RL";11184;NA;"Sawyer";6;1978;1978;918;765;1683;918;0;0;2;1;7;2;440;2009;"Normal";172500
772;"RL";11625;NA;"Sawyer";5;1967;1967;1052;0;1052;1052;0;0;1;1;6;1;668;2009;"Abnorml";113500
773;"RL";7800;NA;"Sawyer";5;1967;2004;899;0;899;864;0;0;1;0;5;1;288;2009;"Normal";130000
774;"RL";8014;NA;"Sawyer";6;1978;1978;1034;0;1034;456;0;1;1;0;5;2;504;2009;"Normal";149900
775;"RL";7252;NA;"Sawyer";5;1982;1982;858;0;858;858;1;0;1;0;5;2;576;2009;"Normal";134900
776;"RL";8740;NA;"Sawyer";5;1982;1982;860;0;860;840;1;0;1;0;4;2;528;2009;"Normal";137000
777;"RL";11616;NA;"Sawyer";5;1962;1962;1092;0;1092;1092;0;1;1;0;6;1;288;2009;"Normal";139000
778;"RL";15400;NA;"Sawyer";5;1961;1961;904;611;1774;552;0;0;2;0;8;1;384;2009;"Normal";165000
779;"RL";15312;NA;"Sawyer";6;1960;1960;1138;0;1138;1138;0;1;1;0;6;2;480;2009;"Normal";148000
780;"RL";15584;NA;"ClearCr";5;1956;1956;2071;0;2071;825;0;1;1;1;9;1;336;2009;"Normal";165000
781;"RL";9000;NA;"Sawyer";2;1947;1950;660;0;660;0;0;0;1;0;5;0;0;2009;"Normal";63900
782;"RL";11250;NA;"ClearCr";4;1957;1989;1104;684;1788;1104;1;0;1;0;8;1;304;2009;"Normal";161500
783;"RL";25095;NA;"ClearCr";5;1968;2003;1473;0;1473;1437;2;0;1;0;5;1;452;2009;"Partial";143000
784;"RL";17140;NA;"Edwards";4;1956;1956;1229;0;1229;1134;0;0;1;0;6;1;284;2009;"Normal";135000
785;"RL";12342;NA;"Edwards";4;1940;1950;861;0;861;861;0;0;1;0;4;2;539;2009;"Normal";82500
786;"RL";10708;NA;"ClearCr";5;1955;1993;1867;0;1867;1617;1;0;1;0;7;1;303;2009;"Normal";190000
787;"RL";13680;NA;"Edwards";3;1955;1955;1733;0;1733;0;0;0;2;0;8;2;452;2009;"Normal";139600
788;"RL";15635;NA;"Edwards";4;1954;1954;1383;0;1383;0;0;0;1;0;6;2;498;2009;"Normal";122000
789;"RL";9855;NA;"Edwards";6;1956;1956;1689;0;1689;1436;0;0;1;0;7;2;480;2009;"Normal";127500
790;"RL";9571;NA;"Edwards";5;1956;1956;1073;0;1073;1073;1;0;1;0;5;1;340;2009;"Normal";121500
791;"RL";9571;NA;"Edwards";5;1958;1958;1276;0;1276;1276;0;0;1;0;5;1;350;2009;"Abnorml";60000
792;"RL";9350;NA;"Edwards";6;1946;1950;892;747;1639;747;0;0;1;1;6;1;240;2009;"Normal";154400
793;"RL";9340;NA;"Edwards";4;1941;1950;672;0;672;672;1;0;1;0;4;1;234;2009;"Normal";113000
794;"RL";7440;NA;"Edwards";5;1954;1954;1089;0;1089;1089;1;0;1;0;5;1;252;2009;"Normal";125000
795;"RL";11500;NA;"Edwards";4;1957;1957;845;0;845;0;0;0;1;0;5;1;290;2009;"Normal";84000
796;"RL";4235;NA;"Edwards";5;1984;1984;1049;0;1049;1049;1;0;2;0;5;1;266;2009;"Normal";139500
797;"RL";11409;NA;"Edwards";5;1949;2008;1148;568;1716;768;0;0;1;1;8;1;281;2009;"Normal";131000
798;"RL";9060;NA;"Edwards";6;1939;1950;698;560;1258;560;0;0;1;0;6;1;280;2009;"Normal";105000
799;"RL";9084;NA;"Edwards";4;1940;1950;755;755;1510;755;1;0;1;0;7;1;296;2009;"Normal";108000
800;"RL";10778;NA;"SawyerW";7;1990;1991;1061;0;1061;1054;1;0;1;1;4;2;462;2009;"Normal";162000
801;"RL";19255;NA;"SawyerW";6;1983;1983;1338;0;1338;520;0;0;1;1;5;2;576;2009;"Normal";156500
802;"RL";12327;NA;"SawyerW";8;1983;2009;1496;636;2132;1496;1;0;1;1;5;2;612;2009;"Normal";316600
803;"RL";14684;NA;"SawyerW";7;1990;1991;2196;0;2196;2158;0;0;2;0;7;3;701;2009;"Normal";271900
804;"RL";9317;NA;"SawyerW";7;1993;1993;1006;769;1775;740;1;0;2;1;7;2;425;2009;"Normal";213000
805;"RL";10560;NA;"SawyerW";7;1993;1994;1079;800;1879;1079;1;0;2;1;8;2;473;2009;"Normal";239900
806;"RL";9828;NA;"SawyerW";8;1995;1995;1142;878;2020;1128;0;0;2;1;8;2;466;2009;"Normal";239500
807;"RL";26400;NA;"SawyerW";5;1880;2007;1288;728;2016;0;0;0;1;0;7;2;576;2009;"Normal";131000
808;"RL";7018;NA;"SawyerW";5;1979;1979;1535;0;1535;0;0;0;2;0;8;2;410;2009;"Alloca";118964
809;"RL";7018;NA;"SawyerW";5;1979;1979;1224;0;1224;1086;2;0;0;2;6;2;528;2009;"Alloca";153337
810;"RL";7018;NA;"SawyerW";5;1979;1979;1114;1114;2228;0;0;0;2;0;8;2;720;2009;"Alloca";147983
811;"RL";7018;NA;"SawyerW";5;1979;1979;1535;0;1535;0;0;0;2;0;8;2;400;2009;"Alloca";118858
812;"RL";7018;NA;"SawyerW";5;1979;1979;1535;0;1535;0;0;0;2;0;8;2;400;2009;"Alloca";118858
813;"RL";7018;NA;"SawyerW";5;1979;1979;1120;1120;2240;0;0;0;2;0;12;2;528;2009;"Alloca";142953
814;"RL";7040;NA;"SawyerW";5;1979;1979;1229;0;1229;1094;2;0;0;2;6;2;672;2009;"Alloca";148325
815;"RL";7007;NA;"SawyerW";5;1979;1979;1513;0;1513;0;0;0;2;0;8;2;400;2009;"Alloca";113722
816;"RL";11855;NA;"SawyerW";7;2000;2000;1168;1619;2787;1168;2;0;4;2;8;4;820;2009;"Normal";269500
817;"RL";7939;NA;"SawyerW";7;2000;2000;1168;1619;2787;1168;2;0;4;2;8;4;820;2009;"Normal";269500
818;"RL";7976;NA;"SawyerW";7;2000;2000;1168;1619;2787;1168;2;0;4;2;8;4;820;2009;"Normal";269500
819;"RL";10933;NA;"CollgCr";9;2009;2009;1680;0;1680;1555;1;0;1;1;8;3;1138;2009;"Partial";323262
820;"RL";10637;NA;"CollgCr";8;2007;2008;1718;0;1718;1705;1;0;2;0;7;3;826;2009;"Normal";297000
821;"RL";10226;NA;"CollgCr";8;2008;2008;1630;0;1630;1622;1;0;2;0;8;3;860;2009;"Normal";295493
822;"RL";10816;NA;"CollgCr";9;2008;2008;1720;0;1720;1720;1;0;2;0;8;3;846;2009;"Normal";332000
823;"RL";9178;NA;"CollgCr";8;2008;2008;1468;0;1468;1468;0;0;2;0;6;3;904;2009;"Normal";239900
824;"RL";10769;NA;"CollgCr";8;2007;2007;866;902;1768;866;0;0;2;1;7;2;578;2009;"Normal";212000
825;"RL";11422;NA;"CollgCr";8;2007;2008;1838;0;1838;1838;1;0;2;0;7;2;524;2009;"Normal";272500
826;"RL";11923;NA;"CollgCr";9;2007;2007;1800;0;1800;1800;0;0;2;0;7;2;702;2009;"Normal";239000
827;"RL";8814;NA;"CollgCr";7;2006;2006;1604;0;1604;1604;1;0;2;1;8;2;660;2009;"Abnorml";220000
828;"RL";6762;NA;"CollgCr";7;2007;2007;1290;0;1290;1282;1;0;2;0;6;2;662;2009;"Normal";200000
829;"RL";10324;NA;"CollgCr";8;2008;2008;1254;0;1254;1254;1;0;2;0;5;3;810;2009;"Normal";221800
830;"RL";7314;NA;"CollgCr";7;2007;2007;1232;0;1232;1232;1;0;2;0;6;2;632;2009;"Normal";194500
831;"RL";11645;NA;"CollgCr";8;2005;2006;1498;0;1498;1498;0;0;2;0;7;3;844;2009;"Normal";237000
832;"RL";11646;NA;"CollgCr";6;2005;2006;704;718;1422;704;0;0;2;1;7;2;440;2009;"Normal";173000
833;"RL";12800;NA;"SawyerW";7;1989;1989;1644;0;1644;1518;1;1;2;0;5;2;569;2009;"Normal";275000
834;"RL";16698;NA;"ClearCr";7;1992;1993;944;815;1759;1449;1;0;2;1;7;2;525;2009;"Normal";233500
835;"RL";28698;NA;"ClearCr";5;1967;1967;1160;966;2126;1013;0;1;2;1;7;2;538;2009;"Abnorml";185000
836;"RL";12464;NA;"CollgCr";5;1996;1996;1040;0;1040;1040;1;0;1;0;6;2;576;2009;"Normal";152000
837;"RL";9757;NA;"CollgCr";5;1994;1994;990;0;990;990;1;0;1;0;5;1;440;2009;"Normal";143000
838;"RL";15426;NA;"CollgCr";6;1997;1997;928;836;1764;928;1;0;2;1;7;2;470;2009;"Normal";231500
839;"RL";10667;NA;"CollgCr";7;1996;1996;827;834;1661;799;1;0;2;1;6;2;550;2009;"Normal";212000
840;"RL";14753;NA;"CollgCr";7;1998;1998;1463;0;1463;1463;1;0;2;0;5;2;539;2009;"Normal";207000
841;"RL";10859;NA;"CollgCr";5;1994;1995;1097;0;1097;1097;0;0;1;1;6;2;672;2009;"Normal";145000
842;"RL";8072;NA;"CollgCr";5;1994;1995;990;0;990;990;1;0;1;0;5;2;480;2009;"Normal";138000
843;"RL";10400;NA;"CollgCr";7;1998;1998;866;913;1779;866;0;0;2;1;6;2;546;2009;"Normal";197900
844;"RL";10335;NA;"CollgCr";7;1999;1999;1501;0;1501;1490;1;0;2;0;6;2;577;2009;"Normal";204000
845;"RL";9017;NA;"CollgCr";7;1999;1999;1431;0;1431;1431;1;0;2;0;6;2;666;2009;"Normal";192000
846;"RL";8750;NA;"CollgCr";6;1998;1998;928;844;1772;928;1;0;2;1;7;2;492;2009;"Normal";200000
847;"RL";8935;NA;"CollgCr";7;2002;2002;831;829;1660;831;0;0;2;1;7;2;493;2009;"Normal";195000
848;"RL";9808;NA;"CollgCr";7;2002;2002;1573;0;1573;1573;1;0;2;0;6;2;544;2009;"Normal";227000
849;"RL";12420;NA;"CollgCr";7;2001;2001;944;896;1840;944;1;0;2;1;6;2;622;2009;"Normal";230000
850;"RL";16285;NA;"CollgCr";7;2001;2002;1430;0;1430;1413;0;0;2;0;6;2;605;2009;"Normal";187100
851;"RL";10739;NA;"CollgCr";7;2002;2001;1444;0;1444;1431;1;0;2;0;6;2;577;2009;"Normal";203000
852;"RL";11166;NA;"CollgCr";7;2001;2001;1492;0;1492;1492;0;0;2;0;6;2;608;2009;"Family";201000
853;"RL";8430;NA;"CollgCr";5;1978;1978;1040;0;1040;1040;0;0;2;0;5;0;0;2009;"Normal";124000
854;"RL";16269;NA;"CollgCr";5;1978;1978;907;0;907;907;0;0;1;0;5;1;343;2009;"Normal";140000
855;"RL";6950;NA;"CollgCr";5;1979;1979;914;0;914;914;1;0;1;0;5;2;444;2009;"Normal";134900
856;"RL";8800;NA;"CollgCr";5;1977;2008;1040;0;1040;1040;0;0;2;0;5;2;484;2009;"Normal";150500
857;"RL";7000;NA;"CollgCr";5;1978;2005;864;0;864;864;1;0;1;0;6;1;336;2009;"Normal";136500
858;"RL";9286;NA;"CollgCr";5;1977;1989;1268;0;1268;1268;0;0;1;1;5;1;252;2009;"Normal";143500
859;"RL";15523;NA;"CollgCr";5;1972;1972;864;0;864;864;1;0;1;0;5;1;338;2009;"Normal";133500
860;"RL";7200;NA;"CollgCr";5;1972;1972;894;0;894;894;0;0;1;0;6;2;600;2009;"Normal";123000
861;"RL";7200;NA;"CollgCr";5;1972;2003;768;0;768;768;0;1;1;0;5;1;396;2009;"Normal";133900
862;"RL";8445;NA;"CollgCr";5;1972;2007;768;0;768;768;1;0;1;0;5;2;396;2009;"Normal";133000
863;"RL";11664;NA;"CollgCr";7;2002;2002;1611;0;1611;1569;1;0;2;0;6;3;1231;2009;"Normal";250000
864;"RL";12334;NA;"CollgCr";8;2003;2003;1068;1116;2184;1068;0;0;2;1;8;2;570;2009;"Normal";254750
865;"RL";11838;NA;"CollgCr";8;2001;2001;1788;0;1788;1753;0;0;2;0;7;2;522;2009;"Normal";236500
866;"RL";11885;NA;"CollgCr";8;2001;2001;1299;573;1872;1299;1;0;2;1;7;2;531;2009;"Normal";261500
867;"RL";11050;NA;"CollgCr";9;2000;2000;1476;677;2153;1440;1;0;2;1;8;3;736;2009;"Normal";313000
868;"RL";8749;NA;"CollgCr";7;2002;2002;840;885;1725;840;0;0;2;1;6;2;550;2009;"Normal";198500
869;"RL";11250;NA;"CollgCr";7;2001;2001;944;926;1870;944;0;0;2;1;6;2;608;2009;"Normal";211000
870;"RL";15750;NA;"CollgCr";8;1999;2000;1513;0;1513;1462;1;0;2;0;5;2;521;2009;"Normal";220000
871;"RL";11883;NA;"CollgCr";7;1996;1996;1504;0;1504;1504;1;0;2;0;6;2;478;2009;"Normal";203000
872;"RL";12782;NA;"CollgCr";8;2002;2003;1828;0;1828;1822;1;0;2;0;7;2;523;2009;"Normal";279500
873;"RL";8750;NA;"CollgCr";7;1997;1998;1417;0;1417;1417;1;0;2;0;7;2;511;2009;"Normal";210000
874;"RL";9375;NA;"CollgCr";7;1997;1998;1057;977;2034;1057;1;0;2;1;8;2;645;2009;"Normal";219500
875;"RL";8750;NA;"CollgCr";7;1996;1996;909;807;1716;880;0;0;2;1;7;2;512;2009;"Normal";191000
876;"RL";9100;NA;"CollgCr";7;2001;2001;1212;0;1212;1212;0;0;2;0;6;2;573;2009;"Normal";178000
877;"RL";9750;NA;"CollgCr";7;2000;2001;1630;0;1630;1630;0;0;2;0;6;2;451;2009;"Normal";213000
878;"RM";4435;NA;"CollgCr";6;2003;2004;848;0;848;848;1;0;1;0;4;2;420;2009;"Normal";144000
879;"RM";4435;NA;"CollgCr";6;2003;2003;848;0;848;848;1;0;1;0;4;2;420;2009;"Normal";140000
880;"RL";10200;NA;"CollgCr";8;2007;2007;1602;0;1602;1578;1;0;2;0;7;3;810;2009;"Normal";293200
881;"RL";9313;NA;"CollgCr";7;2004;2004;864;864;1728;864;0;0;2;1;7;2;572;2009;"Normal";190000
882;"RL";8487;NA;"CollgCr";7;2004;2004;1500;0;1500;1500;0;0;2;0;6;2;570;2009;"Normal";190000
883;"RL";8633;NA;"CollgCr";6;2005;2005;738;738;1476;738;1;0;2;1;7;2;540;2009;"Normal";173500
884;"RL";11069;NA;"CollgCr";6;2007;2007;608;788;1396;608;0;0;2;1;6;2;440;2009;"Normal";170000
885;"RL";8777;NA;"Edwards";4;1949;2003;1126;0;1126;0;0;0;2;0;5;2;520;2009;"Normal";108000
886;"RL";9937;NA;"Edwards";5;1964;1999;1486;0;1486;1486;1;0;1;0;7;2;480;2009;"Normal";167000
887;"RL";8877;NA;"Edwards";4;1938;1958;816;0;816;816;1;0;1;0;3;1;288;2009;"Normal";100000
888;"RL";7301;NA;"Edwards";7;2003;2003;495;1427;1922;0;0;0;3;0;7;2;672;2009;"Normal";198500
889;"RL";7950;NA;"Edwards";6;1977;1977;698;728;1426;690;0;0;1;1;6;2;440;2009;"Normal";159500
890;"RL";10682;NA;"Edwards";4;1960;1971;1149;0;1149;1014;1;0;1;0;7;1;544;2009;"Normal";127000
891;"RL";7200;NA;"Edwards";6;1976;1976;1125;0;1125;1041;1;0;1;0;6;1;352;2009;"Abnorml";125000
